tool,num_agents
<<Chuck Norris&&/jokes/random>>,1019
<<Soundcloud&&/search>>,509
<<Soundcloud&&/song/info>>,487
<<Deezer&&* Search>>,464
<<Deezer&&Playlist>>,450
<<Currency Exchange&&exchange>>,431
<<manatee jokes&&random>>,416
<<Deezer&&Track>>,377
<<Deezer&&Artist>>,367
<<Numbers&&Get trivia fact>>,358
<<Numbers&&Get random fact>>,357
<<Deezer&&Genre>>,339
<<CurrencyAPI.net&&Convert>>,323
<<Soundcloud&&/playlist/info>>,319
<<Numbers&&Get math fact>>,310
<<SongMeanings&&lyrics.get>>,300
<<Soundcloud&&/user/info>>,300
<<Deezer&&Album>>,290
extract_first_name,289
<<Soundcloud&&/song/download>>,287
