tool_name,n,mean_score,score3_rate,negative_rate
<<Chuck Norris&&/jokes/random>>,19,3.0,100.0,0.0
calculator,11,3.0,100.0,0.0
<<Numbers&&Get year fact>>,10,3.0,100.0,0.0
<<Numbers&&Get random fact>>,8,3.0,100.0,0.0
<<Simple Surf Forecast Api&&GetSurfbreaksByCountry>>,8,3.0,100.0,0.0
<<Numbers&&Get math fact>>,7,3.0,100.0,0.0
<<Numbers&&Get trivia fact>>,7,3.0,100.0,0.0
<<Soundcloud&&/song/info>>,7,3.0,100.0,0.0
<<World Bank | GDP&&List of countries with income level>>,7,3.0,100.0,0.0
asknews,7,3.0,100.0,0.0
<<Tourist Attraction&&Search>>,6,3.0,100.0,0.0
google-serper,6,3.0,100.0,0.0
<<Address Correction and Geocoding&&/address>>,5,3.0,100.0,0.0
<<Australian Suburbs&&Neighbours>>,5,3.0,100.0,0.0
<<Australian Suburbs&&Suburbs>>,5,3.0,100.0,0.0
<<BraveNewCoin&&AssetById>>,5,3.0,100.0,0.0
<<BroadNet SMS&&Send SMS>>,5,3.0,100.0,0.0
<<CheapShark - Game Deals&&Edit Alert>>,5,3.0,100.0,0.0
<<CheapShark - Game Deals&&Manage Alerts>>,5,3.0,100.0,0.0
<<Coinpaprika&&Exchanges>>,5,3.0,100.0,0.0
<<Cricket Analytics&&match from Id>>,5,3.0,100.0,0.0
<<Crypto Events Calendar &&Events>>,5,3.0,100.0,0.0
<<Crypto Whale Transactions&&Specific transactions>>,5,3.0,100.0,0.0
<<D7SMS&&D7API - Check Balance>>,5,3.0,100.0,0.0
<<D7SMS&&Get OTP Status>>,5,3.0,100.0,0.0
<<EarningsData&&GetByDate>>,5,3.0,100.0,0.0
<<Edamam Nutrition Analysis&&/api/nutrition-data>>,5,3.0,100.0,0.0
<<Felina API&&Faucets>>,5,3.0,100.0,0.0
<<Felina API&&Transactions>>,5,3.0,100.0,0.0
<<FlashLive Sports&&Event Odds>>,5,3.0,100.0,0.0
<<Flight Integration&&Flight>>,5,3.0,100.0,0.0
<<Flowers&&Get by id>>,5,3.0,100.0,0.0
<<Food Nutrional Data&&Search a food/recipe item (100g serving)>>,5,3.0,100.0,0.0
<<Football Prediction&&Get list of fixture IDs>>,5,3.0,100.0,0.0
<<Gearbest&&/get_product>>,5,3.0,100.0,0.0
<<Gearbest&&/get_shipping>>,5,3.0,100.0,0.0
<<GetGuidelines&&vac>>,5,3.0,100.0,0.0
<<Ind Nutrient API&&View All Food Items>>,5,3.0,100.0,0.0
<<JSearch&&Estimated Salary>>,5,3.0,100.0,0.0
<<LINE Messaging&&Get number of sent reply messages>>,5,3.0,100.0,0.0
<<Lost Ark&&Get all island with dropped items>>,5,3.0,100.0,0.0
<<MapToolkit&&Search>>,5,3.0,100.0,0.0
<<NPS-Net Promoter Score&&Details all organization surveys>>,5,3.0,100.0,0.0
<<NPS-Net Promoter Score&&NPS Organization>>,5,3.0,100.0,0.0
<<Official World Cup&&Matches>>,5,3.0,100.0,0.0
<<Partenaires Mobilis&&Get ALL partenaires>>,5,3.0,100.0,0.0
<<Peak Conditions&&get daily report by mountain id>>,5,3.0,100.0,0.0
<<PetStoreAPI2.0&&getOrderById>>,5,3.0,100.0,0.0
