tool_name,n,mean_score,score3_rate,negative_rate
calculator,220,1.8,66.36,16.82
tasks,22,2.5,72.73,4.55
file-search,19,-1.2632,0.0,63.16
current_time_service,14,1.0,42.86,28.57
brave-search,11,-0.2727,18.18,45.45
Word Compare,10,2.7,70.0,0.0
Just Compare,10,2.3,30.0,0.0
openai-code-interpreter,9,1.1111,22.22,22.22
exa-search,8,2.25,87.5,12.5
Text Similarity (post),7,3.0,100.0,0.0
Webit Language&&Analyze Grammar,7,3.0,100.0,0.0
movie_recommendation_tool,7,3.0,100.0,0.0
Texts_Comparison_v1_text_compare_post,7,2.4286,42.86,0.0
python-repl,7,-1.5714,0.0,71.43
sql,6,-2.3333,0.0,83.33
TextGears&&Grammar check,5,3.0,100.0,0.0
Geometric Calculation&&Segment Intersect,5,2.6,60.0,0.0
<<Just Compare&&Char Compare>>,5,2.0,0.0,0.0
Translate Text,5,1.0,0.0,0.0
Date Calculator API&&postCheckDayDiff,4,3.0,100.0,0.0
text2table,4,3.0,100.0,0.0
<<Named-entity recognition&&ner>>,4,2.0,0.0,0.0
<<Similarity Compare&&default>>,4,2.0,0.0,0.0
OS Sports Perform&&Player data,4,2.0,0.0,0.0
Text Similarity (get),4,2.0,0.0,0.0
custom-functions,4,2.0,0.0,0.0
riza-code-interpreter,4,1.25,50.0,25.0
Spellcheck + Tokenization + Wordbreak&&GET/v1/spellcheck-tokenize,4,-3.0,0.0,100.0
Spellcheck + Tokenization + Wordbreak&&GET/v1/tokenize,4,-3.0,0.0,100.0
<<Data.Police.UK&&Outcomes for a specific crime>>,3,3.0,100.0,0.0
Char Compare,3,3.0,100.0,0.0
CrystalFeel API,3,3.0,100.0,0.0
CrystalFeel API&&crystal_lace,3,3.0,100.0,0.0
Data.Police.UK&&Outcomes for a specific crime,3,3.0,100.0,0.0
Geometric Calculation&&Polyline Simplyfication,3,3.0,100.0,0.0
Physitionary&&advanced,3,3.0,100.0,0.0
Rephraser Text and Spintax&&text_to_rewrite,3,3.0,100.0,0.0
Similar Movies&&find similar,3,3.0,100.0,0.0
Text2Table&&text2table,3,3.0,100.0,0.0
cover_letter_creator,3,3.0,100.0,0.0
search_information,3,3.0,100.0,0.0
<<Data.Police.UK&&Crimes at location>>,3,2.3333,33.33,0.0
/academicapi/echo,3,2.0,0.0,0.0
<<Just Compare&&Word Compare>>,3,2.0,0.0,0.0
<<Named Entity Extraction&&named_entity_extraction>>,3,2.0,0.0,0.0
<<Similar Movies&&find similar>>,3,2.0,0.0,0.0
Book&&getBook,3,2.0,0.0,0.0
Paraphrase,3,2.0,0.0,0.0
Text Similarity&&Text Similarity (get),3,1.0,0.0,0.0
grammar_and_spelling_checker,3,0.3333,0.0,33.33
Spellcheck + Tokenization + Wordbreak&&GET/v1/spellcheck,3,-3.0,0.0,100.0
<<General Image Detection&&Analyze Image>>,2,3.0,100.0,0.0
<<Text Entities API&&text-entities>>,2,3.0,100.0,0.0
AION&&Chatbot Answer,2,3.0,100.0,0.0
AION&&Create New Bot,2,3.0,100.0,0.0
Date Calculator&&edate,2,3.0,100.0,0.0
Detect Sentiment,2,3.0,100.0,0.0
ESA Semantic Relatedness&&Relatedness,2,3.0,100.0,0.0
GrammarBot Neural&&check,2,3.0,100.0,0.0
MovieRecommendations,2,3.0,100.0,0.0
Similar Movies&&get Id,2,3.0,100.0,0.0
background_check,2,3.0,100.0,0.0
manage_schedule,2,3.0,100.0,0.0
schedule_planner,2,3.0,100.0,0.0
set_schedule_priority,2,3.0,100.0,0.0
<<Geometric Calculation&&Is Convex Polygon>>,2,2.0,0.0,0.0
<<Geometric Calculation&&Polygon operations>>,2,2.0,0.0,0.0
<<Geometric Calculation&&Segment Intersect>>,2,2.0,0.0,0.0
<<Similar Movies&&get Id>>,2,2.0,0.0,0.0
<<Text Similarity&&Text Similarity (get)>>,2,2.0,0.0,0.0
Bad Word Filter&&Bad Word Filter,2,2.0,0.0,0.0
GET/v1/spellcheck,2,2.0,0.0,0.0
Geometric Calculation&&Is Convex Polygon,2,2.0,0.0,0.0
Semantic Analysis&&Texts_Comparison_v1_text_compare_post,2,2.0,0.0,0.0
UserMoviePreferences,2,2.0,0.0,0.0
wikipedia,2,2.0,0.0,0.0
<<Color Detection&&Image Color Analysis>>,2,1.0,0.0,0.0
Geofencing&&Polygon,2,1.0,0.0,0.0
Text Readability&&analyze,2,-1.0,0.0,50.0
Segment Intersect,2,-3.0,0.0,100.0
<<Date Calculator API&&postCheckDayDiff>>,1,3.0,100.0,0.0
<<Date Calculator&&datedif>>,1,3.0,100.0,0.0
<<Date Calculator&&edate>>,1,3.0,100.0,0.0
<<Forcast Base&&default>>,1,3.0,100.0,0.0
<<weather forecast 14 days&&Search location by Name or zip code>>,1,3.0,100.0,0.0
Arithmio&&GET API,1,3.0,100.0,0.0
Dandelion&&classifyText,1,3.0,100.0,0.0
Grammar and Spellcheck&&test,1,3.0,100.0,0.0
GrammarBot&&check,1,3.0,100.0,0.0
LanguageTool,1,3.0,100.0,0.0
MonkeyLearn&&classify,1,3.0,100.0,0.0
Named Entity Extraction&&named_entity_extraction,1,3.0,100.0,0.0
Named-entity recognition&&ner,1,3.0,100.0,0.0
Physitionary&&intermediate,1,3.0,100.0,0.0
Semantic Analysis&&Create_Semantic_Mark_v1_mark_post,1,3.0,100.0,0.0
Semantic Analysis&&Semantic_Search_v1_text_search_post,1,3.0,100.0,0.0
Sentiment Analysis,1,3.0,100.0,0.0
TextGears Grammar check,1,3.0,100.0,0.0
create_schedule,1,3.0,100.0,0.0
daily_schedule_manager,1,3.0,100.0,0.0
identity_verification,1,3.0,100.0,0.0
time interpreter,1,3.0,100.0,0.0
<<AIbit translator&&Detect language>>,1,2.0,0.0,0.0
<<AIbit translator&&Translate Text>>,1,2.0,0.0,0.0
<<GeoApi&&/api/Geo/MakeValid>>,1,2.0,0.0,0.0
<<Geometric Calculation&&Minkowski Diff>>,1,2.0,0.0,0.0
<<Geometric Calculation&&Polyline Simplyfication>>,1,2.0,0.0,0.0
<<Text Analysis&&named-entity-recognition>>,1,2.0,0.0,0.0
<<Text Similarity&&Text Similarity (post)>>,1,2.0,0.0,0.0
<<geojoins&&covers>>,1,2.0,0.0,0.0
<<geojoins&&within>>,1,2.0,0.0,0.0
Date Calculator&&datedif,1,2.0,0.0,0.0
Geneea Interpretor NLP&&Sentiment,1,2.0,0.0,0.0
Geometric Calculation&&Voronoi Diagram,1,2.0,0.0,0.0
OS Sports Perform&&Incidents,1,2.0,0.0,0.0
OS Sports Perform&&Player events,1,2.0,0.0,0.0
Physitionary&&basic,1,2.0,0.0,0.0
Sentiment & Language Detection (AI)&&Detect Sentiment,1,2.0,0.0,0.0
Sentiment Analysis Portuguese BR&&Sentiment,1,2.0,0.0,0.0
Text Sentiment Analysis&&Detect Sentiment,1,2.0,0.0,0.0
Text-Processing&&sentiment,1,2.0,0.0,0.0
Treediff&&diff,1,2.0,0.0,0.0
finalize_appointment_time,1,2.0,0.0,0.0
schedule_sorter,1,2.0,0.0,0.0
smart locations&&get-location,1,2.0,0.0,0.0
<<Report Insight Test&&Analysis>>,1,1.0,0.0,0.0
Detect Tags,1,1.0,0.0,0.0
Emotion Detection API&&Emotion Detection,1,1.0,0.0,0.0
English text simplifier&&/v1/simplify,1,1.0,0.0,0.0
Geofencing&&Polygon Batch,1,1.0,0.0,0.0
Geometric Calculation&&Polygon Outer Offset,1,1.0,0.0,0.0
GetWeatherForCoordinates,1,1.0,0.0,0.0
Gramma Error&&default,1,1.0,0.0,0.0
Languagelayer&&detectSingleTextLanguage,1,1.0,0.0,0.0
Lingulab&&Get Result,1,1.0,0.0,0.0
NLP Text Processor Categorizer and Analyzer&&Flippy Endpoint,1,1.0,0.0,0.0
Paraphraser&&Summarize,1,1.0,0.0,0.0
Text Similarity&&Text Similarity (post),1,1.0,0.0,0.0
Text_Categorization_v1_text_categorize_post,1,1.0,0.0,0.0
Translate: Translate,1,1.0,0.0,0.0
Twinword Text Analysis Bundle&&Classify (post),1,1.0,0.0,0.0
