qid,step_idx,total_steps,prefix_chars,prefix_words,P@1,R@1,F1@1,Hit@1,nDCG@1,MRR@1
PartII_question_61696,1,2,262,50,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_61696,2,2,309,55,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_14162,1,2,320,54,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_14162,2,2,707,115,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_27951,1,2,424,66,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_27951,2,2,471,71,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_27680,1,2,241,40,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_27680,2,2,935,151,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_74379,1,2,142,25,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_74379,2,2,172,30,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21057,1,2,307,56,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_21057,2,2,633,104,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_52182,1,2,291,50,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_52182,2,2,441,72,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_22795,1,2,245,38,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_22795,2,2,439,67,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_71459,1,2,206,35,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_71459,2,2,498,71,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_49942,1,2,249,44,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_49942,2,2,613,102,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_26464,1,2,317,56,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_26464,2,2,364,61,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_34163,1,2,368,61,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_34163,2,2,548,87,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_75045,1,2,108,19,0.0,0.0,0.0,0.0,0.0,0.0
PartII_question_75045,2,2,130,24,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_14239,1,2,263,41,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_14239,2,2,378,54,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_67224,1,2,278,46,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_67224,2,2,325,51,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_22096,1,2,270,45,1.0,1.0,1.0,1.0,1.0,1.0
PartII_question_22096,2,2,315,50,1.0,1.0,1.0,1.0,1.0,1.0
