pattern_type,pattern,size,example_qids
prefix,user i want to surprise my,2710,PartII_question_2706 | PartII_question_2725 | PartII_question_2746 | PartII_question_2747 | PartII_question_2820 | PartII_question_3044 | PartII_question_3132 | PartII_question_3155 | PartII_question_3174 | PartII_question_3308
prefix,user my friends and i are,1926,PartII_question_2713 | PartII_question_2778 | PartII_question_2902 | PartII_question_2907 | PartII_question_2987 | PartII_question_3037 | PartII_question_3087 | PartII_question_3109 | PartII_question_3178 | PartII_question_3195
prefix,user i'm planning a trip to,1919,PartII_question_2731 | PartII_question_2741 | PartII_question_2776 | PartII_question_2826 | PartII_question_2895 | PartII_question_2945 | PartII_question_2954 | PartII_question_3015 | PartII_question_3031 | PartII_question_3034
prefix,user my family and i are,1519,PartII_question_2687 | PartII_question_2738 | PartII_question_3022 | PartII_question_3056 | PartII_question_3159 | PartII_question_3181 | PartII_question_3189 | PartII_question_3227 | PartII_question_3260 | PartII_question_3352
prefix,user i'm planning a road trip,1329,PartII_question_2691 | PartII_question_2749 | PartII_question_2783 | PartII_question_2793 | PartII_question_2819 | PartII_question_2857 | PartII_question_2871 | PartII_question_2888 | PartII_question_2892 | PartII_question_2899
prefix,user my company is organizing a,1291,PartII_question_2710 | PartII_question_2726 | PartII_question_2732 | PartII_question_2736 | PartII_question_2760 | PartII_question_2832 | PartII_question_2854 | PartII_question_2873 | PartII_question_2908 | PartII_question_2948
prefix,user i'm planning a surprise party,1175,PartII_question_2764 | PartII_question_2804 | PartII_question_2866 | PartII_question_2878 | PartII_question_2890 | PartII_question_2898 | PartII_question_3021 | PartII_question_3035 | PartII_question_3315 | PartII_question_3357
prefix,user i'm planning a surprise birthday,1068,PartII_question_2737 | PartII_question_2799 | PartII_question_2955 | PartII_question_3142 | PartII_question_3196 | PartII_question_3233 | PartII_question_3347 | PartII_question_3410 | PartII_question_3425 | PartII_question_3582
prefix,user i'm planning a family vacation,1039,PartII_question_2743 | PartII_question_2814 | PartII_question_2833 | PartII_question_2850 | PartII_question_2856 | PartII_question_2921 | PartII_question_2949 | PartII_question_3030 | PartII_question_3088 | PartII_question_3251
prefix,the following paragraphs each describe a,899,leaderboard_bbh_logical_deduction_five_objects_question_0 | leaderboard_bbh_logical_deduction_five_objects_question_1 | leaderboard_bbh_logical_deduction_five_objects_question_2 | leaderboard_bbh_logical_deduction_five_objects_question_3 | leaderboard_bbh_logical_deduction_five_objects_question_4 | leaderboard_bbh_logical_deduction_five_objects_question_5 | leaderboard_bbh_logical_deduction_five_objects_question_6 | leaderboard_bbh_logical_deduction_five_objects_question_7 | leaderboard_bbh_logical_deduction_five_objects_question_8 | leaderboard_bbh_logical_deduction_five_objects_question_9
prefix,user i'm organizing a charity event,869,PartII_question_2699 | PartII_question_2707 | PartII_question_2840 | PartII_question_2950 | PartII_question_3005 | PartII_question_3111 | PartII_question_3121 | PartII_question_3134 | PartII_question_3216 | PartII_question_3234
prefix,user i'm organizing a company event,850,PartII_question_2717 | PartII_question_2782 | PartII_question_2784 | PartII_question_2785 | PartII_question_2901 | PartII_question_3036 | PartII_question_3093 | PartII_question_3314 | PartII_question_3343 | PartII_question_3366
prefix,user i am planning a trip,652,PartII_question_2689 | PartII_question_2860 | PartII_question_3131 | PartII_question_3191 | PartII_question_3247 | PartII_question_3331 | PartII_question_3348 | PartII_question_3394 | PartII_question_3402 | PartII_question_3530
prefix,user i want to organize a,507,PartII_question_2787 | PartII_question_2800 | PartII_question_2841 | PartII_question_2885 | PartII_question_2967 | PartII_question_3033 | PartII_question_3509 | PartII_question_3615 | PartII_question_3652 | PartII_question_3756
prefix,user i'm a travel blogger and,491,PartII_question_2911 | PartII_question_3144 | PartII_question_3165 | PartII_question_3342 | PartII_question_3511 | PartII_question_3580 | PartII_question_3661 | PartII_question_3712 | PartII_question_3732 | PartII_question_3783
prefix,user i want to explore the,443,PartII_question_2827 | PartII_question_2848 | PartII_question_2984 | PartII_question_3051 | PartII_question_3183 | PartII_question_3254 | PartII_question_3408 | PartII_question_3487 | PartII_question_4007 | PartII_question_4079
prefix,user i'm a music enthusiast and,425,PartII_question_2863 | PartII_question_2926 | PartII_question_2957 | PartII_question_2974 | PartII_question_3413 | PartII_question_3417 | PartII_question_3482 | PartII_question_3573 | PartII_question_3723 | PartII_question_3782
prefix,user i want to create a,397,PartII_question_2711 | PartII_question_3113 | PartII_question_3262 | PartII_question_3587 | PartII_question_3607 | PartII_question_3876 | PartII_question_3908 | PartII_question_4208 | PartII_question_4440 | PartII_question_4534
prefix,user i'm planning a surprise anniversary,392,PartII_question_2851 | PartII_question_2929 | PartII_question_2989 | PartII_question_3069 | PartII_question_3422 | PartII_question_3649 | PartII_question_3924 | PartII_question_4152 | PartII_question_4307 | PartII_question_4318
prefix,user i want to know the,374,MTU_MMTN_question_6 | MTU_MMTN_question_70 | PartII_question_2733 | PartII_question_3140 | PartII_question_3980 | PartII_question_4239 | PartII_question_4299 | PartII_question_4411 | PartII_question_4435 | PartII_question_4773
prefix,user i'm planning a family trip,360,PartII_question_2694 | PartII_question_3114 | PartII_question_3243 | PartII_question_3382 | PartII_question_3454 | PartII_question_3634 | PartII_question_3784 | PartII_question_4481 | PartII_question_4587 | PartII_question_4589
prefix,which of the following is a,358,leaderboard_bbh_ruin_names_question_0 | leaderboard_bbh_ruin_names_question_1 | leaderboard_bbh_ruin_names_question_2 | leaderboard_bbh_ruin_names_question_3 | leaderboard_bbh_ruin_names_question_4 | leaderboard_bbh_ruin_names_question_5 | leaderboard_bbh_ruin_names_question_6 | leaderboard_bbh_ruin_names_question_7 | leaderboard_bbh_ruin_names_question_8 | leaderboard_bbh_ruin_names_question_9
prefix,user i'm planning a hiking trip,352,PartII_question_2770 | PartII_question_2962 | PartII_question_3104 | PartII_question_3339 | PartII_question_3481 | PartII_question_3675 | PartII_question_3827 | PartII_question_3872 | PartII_question_4111 | PartII_question_4151
prefix,user i'm organizing a team building,345,PartII_question_2952 | PartII_question_3028 | PartII_question_3423 | PartII_question_3545 | PartII_question_4017 | PartII_question_4182 | PartII_question_4495 | PartII_question_4940 | PartII_question_5049 | PartII_question_5216
prefix,user my family is planning a,326,PartII_question_2697 | PartII_question_2828 | PartII_question_2960 | PartII_question_3133 | PartII_question_3354 | PartII_question_3640 | PartII_question_4032 | PartII_question_4538 | PartII_question_4936 | PartII_question_5111
