recordId,dirname,rank,tool_name,score,question,rewritten_tool_query
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,1,Microserv.io NLP Service&&ColemanLiauReadability,-3,False or False or True and not False is,boolean logic evaluation
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,1,Microserv.io NLP Service&&ColemanLiauReadability,-3,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,1,Microserv.io NLP Service&&ColemanLiauReadability,-3,False or not not not False and True is,boolean logic evaluation
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,1,Microserv.io NLP Service&&ColemanLiauReadability,-3,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,1,Microserv.io NLP Service&&ColemanLiauReadability,-3,True or False and not ( True ) is,boolean logic evaluation; parse logical expression
leaderboard_bbh_causal_judgement_question_65,bbh_causal_judgement,1,Sentiment Analysis Portuguese BR&&Sentiment,-3,"How would a typical person answer each of the following questions about causation?
Jim, Carol, Bob, and Nancy are researchers in a remote area, and they have a limited supply of electricity. Because of their limited supply, the electricity only comes on in the evenings from 8-9 PM, and they have to restrict who can use power on certain days. If three people turn on their lamps at the same time, the breaker will fail. The breaker will not fail if fewer people turn on their lamps at the same time. Jim, Carol, Bob, and Nancy are all allowed to use their lamps on Thursdays. This Thursday Jim turns on his lamp at 8 PM. Just then, Carol turns on her lamp, and Bob also turns on his lamp. Since three people turned on their lamps at the same time, the circuit breaker failed. Did Jim turning on his lamp at 8 PM cause the circuit breaker to fail?
Options:
- Yes
- No",causal reasoning answer yes/no; counterfactual causation; logic question classification
leaderboard_bbh_date_understanding_question_174,bbh_date_understanding,1,Spotify Data&&search,-3,"Jane is celebrating the last day of Jan 2012. What is the date today in MM/DD/YYYY?
Options:
(A) 01/31/2012
(B) 01/29/2012
(C) 02/10/2012
(D) 03/22/2012
(E) 01/30/2012
(F) 01/21/2012",date lookup; calendar date today; format MM/DD/YYYY
leaderboard_bbh_disambiguation_qa_question_70,bbh_disambiguation_qa,1,crossref&&DOI,-3,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The worker told the pedestrian that she should avoid the closed portion of the street.
Options:
(A) The worker should avoid the closed portion
(B) The pedestrian should avoid the closed portion
(C) Ambiguous",pronoun antecedent resolution; coreference disambiguation; text classification multiple choice
leaderboard_bbh_disambiguation_qa_question_155,bbh_disambiguation_qa,1,Sentiment & Language Detection (AI)&&Detect Language,-3,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: The construction worker called the editor and told her the whole story.
Options:
(A) Told the construction worker the story
(B) Told the editor the story
(C) Ambiguous",pronoun antecedent resolution; ambiguous pronoun detection; sentence answer extraction
leaderboard_bbh_disambiguation_qa_question_162,bbh_disambiguation_qa,1,Topics Extraction&&topics-2.0,-3,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: Alex tells us that they could not meet.
Options:
(A) Alex could not meet
(B) We could not meet
(C) Ambiguous",pronoun antecedent resolution; ambiguity detection; multiple choice answer extraction
leaderboard_bbh_disambiguation_qa_question_167,bbh_disambiguation_qa,1,Topics Extraction&&topics-2.0,-3,"In the following sentences, explain the antecedent of the pronoun (which thing the pronoun refers to), or state that it is ambiguous.
Sentence: After meeting with the producers, Sam goes to their office.
Options:
(A) It is Sam's office
(B) It is the producers' office
(C) Ambiguous",pronoun antecedent resolution; ambiguity detection
leaderboard_bbh_formal_fallacies_question_10,bbh_formal_fallacies,1,TextGears&&Delete exception,-3,"""Is Siri a stepsister of Mary? Is Susan related to Kate? In large families, it is sometimes difficult to keep track of all one's relatives. The following argument seeks to clarify some such relations: Whoever is not a workmate of Hilda is a stepsister of Heather. Every workmate of Hilda is either a stepsister of Heather or an aunt of Clara, or both. We may conclude: Being an aunt of Clara is necessary for being a workmate of Hilda.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",logical validity checker; argument premise conclusion entailment; deductive reasoning validation
leaderboard_bbh_formal_fallacies_question_83,bbh_formal_fallacies,1,OnFleet&&testAuth,-3,"""Is Fred a cousin of Robert? Is Joe related to Bob? In large families, it is sometimes difficult to keep track of all one's relatives. The following argument seeks to clarify some such relations: First premise: Whoever is an uncle of Andrew and a brother of Derrick is also a grandson of Jon.second premise: Every cousin of Chad is an uncle of Andrew. Third premise: Being a brother of Derrick is necessary for being a cousin of Chad. All this entails that every cousin of Chad is a grandson of Jon.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",argument validity check; logical entailment proof; premise conclusion verification
leaderboard_bbh_formal_fallacies_question_147,bbh_formal_fallacies,1,Jibber Analyzer&&Analyze (French),-3,"""Is Fred a cousin of Robert? Is Joe related to Bob? In large families, it is sometimes difficult to keep track of all one's relatives. The following argument seeks to clarify some such relations: First of all, whoever is not a half-brother of Steven is a great-grandfather of Craig. Next, there is somebody who is a great-grandfather of Craig and, in addition, not an ancestor of Jordon or not a stepbrother of Gustavo. It follows that not every half-brother of Steven is both an ancestor of Jordon and a stepbrother of Gustavo.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",logical validity check; deductive argument evaluation; premise conclusion entailment
leaderboard_bbh_formal_fallacies_question_228,bbh_formal_fallacies,1,terrode&&default,-3,"""Consumer research aims at understanding whether users of some products also tend to consume other ones, or not. The following argument seeks to clarify some such relations: First premise: Oliver is not a regular user of Organix Hair shampoo. Second premise: Everyone who is not both a regular user of Organix Hair shampoo and a rare consumer of Purpose soap is however a loyal buyer of Kiss My Face soap. We may conclude that Oliver is a loyal buyer of Kiss My Face soap.""
Is the argument, given the explicitly stated premises, deductively valid or invalid?
Options:
- valid 
- invalid",logical validity check; premise conclusion entailment; deductive argument evaluation
leaderboard_bbh_geometric_shapes_question_22,bbh_geometric_shapes,1,MapboxDirection&&getOptimalWalking,-3,"This SVG path element <path d=""M 53.28,39.69 L 62.67,37.78 L 55.55,46.07 L 44.80,44.14 L 53.28,39.69""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(G) pentagon
(H) rectangle
(I) sector
(J) triangle",SVG path shape classification; identify polygon from path coordinates
leaderboard_bbh_geometric_shapes_question_123,bbh_geometric_shapes,1,NSFW Filter API &&/image,-3,"This SVG path element <path d=""M 27.91,67.16 L 3.81,55.19 L 22.81,3.46 M 22.81,3.46 L 27.91,67.16""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(G) pentagon
(H) rectangle
(I) sector
(J) triangle",SVG shape classification; path geometry analysis; identify polygon shape from path data
leaderboard_bbh_geometric_shapes_question_215,bbh_geometric_shapes,1,MapboxDirection&&getOptimalWalking,-3,"This SVG path element <path d=""M 74.15,65.82 L 62.73,69.82 M 62.73,69.82 L 70.21,58.22 L 84.00,58.77 M 84.00,58.77 L 74.15,65.82""/> draws a
Options:
(A) circle
(B) heptagon
(C) hexagon
(D) kite
(E) line
(F) octagon
(G) pentagon
(H) rectangle
(I) sector
(J) triangle",SVG path shape classification; determine polygon shape from path data
leaderboard_bbh_hyperbaton_question_7,bbh_hyperbaton,1,word cloud&&search,-3,"Which sentence has the correct adjective order:
Options:
(A) cloth hiking huge old-fashioned shoe
(B) huge old-fashioned cloth hiking shoe",grammar check adjective order; compare sentence options; language editing
leaderboard_bbh_hyperbaton_question_13,bbh_hyperbaton,1,word cloud&&search,-3,"Which sentence has the correct adjective order:
Options:
(A) repulsive normal-size green old-fashioned cardboard surfboard
(B) repulsive normal-size old-fashioned green cardboard surfboard",grammar check adjective order; compare sentence options
