tool_name,n,mean_score,score3_rate,negative_rate
Travelling Salesman&&solve,24,-3.0,0.0,100.0
Bad Word Filter&&Bad Word Filter,17,-2.7059,0.0,94.12
TikTok captcha&&Captcha 3D (two the same shapes),17,-3.0,0.0,100.0
TikTok captcha&&Captcha circle,17,-3.0,0.0,100.0
Sentiment Analysis&&sentence,14,-2.6429,0.0,92.86
Word Scramble&&scramble/{word},13,-2.6923,0.0,92.31
TikTok captcha&&Check balance,12,-3.0,0.0,100.0
Wordle Breaker&&Get Last Letter,11,-3.0,0.0,100.0
Just Compare&&Word Compare,10,1.5,50.0,20.0
Semantic Analysis&&Texts_Comparison_v1_text_compare_post,9,2.1111,22.22,0.0
AI endpoint&&Question endpoint,9,1.2222,33.33,11.11
Linear Program Solver&&solve,9,-0.6667,0.0,44.44
Lingulab&&Get Updated Text,9,-2.5556,0.0,88.89
Food Quiz&&all questions,9,-3.0,0.0,100.0
Food Quiz&&levels,9,-3.0,0.0,100.0
Kiann_Options_Project&&opt_theta,9,-3.0,0.0,100.0
Lingulab&&Login,9,-3.0,0.0,100.0
Text Similarity&&Text Similarity (get),8,2.0,25.0,0.0
Lingulab&&Get Keyword Items,8,-3.0,0.0,100.0
Lingulab&&Get Languages,8,-3.0,0.0,100.0
Wimsup Referrals&&Items,8,-3.0,0.0,100.0
Treediff&&diff,7,0.4286,0.0,28.57
Kiann_Options_Project&&opt_gamma,7,-3.0,0.0,100.0
Text Similarity&&Text Similarity (post),6,1.8333,33.33,0.0
Yes No Maybe&&My answer,6,-1.3333,0.0,66.67
Microserv.io NLP Service&&ColemanLiauReadability,6,-3.0,0.0,100.0
TextGears&&Delete exception,6,-3.0,0.0,100.0
TextGears&&Language detection,6,-3.0,0.0,100.0
Photomath&&maths/solve-problem,5,3.0,100.0,0.0
Named Entity Extraction&&named_entity_extraction,5,2.6,80.0,0.0
Named-entity recognition&&ner,5,2.6,80.0,0.0
Geometric Calculation&&Segment Intersect,5,0.4,20.0,40.0
Geometric Calculation&&Delaunay Triangulation,5,-0.4,0.0,40.0
Geometric Calculation&&Minkowski Diff,5,-0.4,0.0,40.0
Text Analysis&&language-detection,5,-1.2,0.0,60.0
Book of Answers&&Yes,5,-1.8,0.0,80.0
Simulately Roll Dice&&default,5,-2.0,0.0,80.0
Text Readability&&analyze,5,-2.2,0.0,80.0
Face Comparison&&face comparison,5,-3.0,0.0,100.0
Kiann_Options_Project&&opt_rho,5,-3.0,0.0,100.0
Profanity Cleaner (Bad Word Filter)&&Profanity,5,-3.0,0.0,100.0
SONOTELLER.AI&&Lyrics Analysis,5,-3.0,0.0,100.0
Wordle Answers Solutions&&All Solutions,5,-3.0,0.0,100.0
Wordle Answers Solutions&&Today,5,-3.0,0.0,100.0
rosacrypto&&7.getallmatchedpair(trades),5,-3.0,0.0,100.0
Time Interpreter&&time interpreter endpoint,4,2.75,75.0,0.0
Color Detection&&Image Color Analysis,4,2.5,75.0,0.0
Just Compare&&Char Compare,4,1.5,75.0,25.0
AIbit translator&&Translate Text,4,1.0,0.0,0.0
Number Array&&default,4,0.75,25.0,25.0
sort&&default,4,0.75,25.0,25.0
AIbit translator&&Translate JSON,4,0.0,0.0,25.0
Webit Language&&Break Sentence,4,0.0,0.0,25.0
Geometric Calculation&&Polyline Simplyfication,4,-0.5,25.0,50.0
Geometric Calculation&&Polygon Outer Offset,4,-1.0,0.0,50.0
Sentiment & Language Detection (AI)&&Detect Language,4,-1.0,0.0,50.0
AIbit translator&&Detect language,4,-2.0,0.0,75.0
Semantic Analysis&&Language_Detection_v1_lang_detect_post,4,-2.0,0.0,75.0
terrode&&default,4,-2.0,0.0,75.0
AIbit translator&&Get Supported Languages,4,-3.0,0.0,100.0
CatchLoc&&Checking the Recent Location Information API,4,-3.0,0.0,100.0
CatchLoc&&Checking the information of the registered object API,4,-3.0,0.0,100.0
De Fi Crypto Currency Exchange&&swap,4,-3.0,0.0,100.0
De Fi Crypto Currency Exchange&&tokens,4,-3.0,0.0,100.0
Gift Card Rewards - Deprecated - Use Rewards as a Service&&PurchaseCard,4,-3.0,0.0,100.0
MapboxDirection&&getOptimalWalking,4,-3.0,0.0,100.0
Microserv.io NLP Service&&SmogReadability,4,-3.0,0.0,100.0
National Football Players&&Players at Position,4,-3.0,0.0,100.0
Personal Info Detector&&pii,4,-3.0,0.0,100.0
Profanity Buster&&/profanities,4,-3.0,0.0,100.0
Spellcheck + Tokenization + Wordbreak&&GET/v1/tokenize,4,-3.0,0.0,100.0
Twinword Text Analysis Bundle&&Word (post),4,-3.0,0.0,100.0
Wimsup Referrals&&Register Item,4,-3.0,0.0,100.0
rolldice&&default,4,-3.0,0.0,100.0
rosacrypto&&5.getorderbookbuy,4,-3.0,0.0,100.0
rosacrypto&&5.getorderbooksell,4,-3.0,0.0,100.0
rosacrypto&&8.getcandles,4,-3.0,0.0,100.0
Data.Police.UK&&Outcomes for a specific crime,3,3.0,100.0,0.0
Date Calculator API&&postCheckDayDiff,3,3.0,100.0,0.0
Date Calculator&&edate,3,3.0,100.0,0.0
TextGears&&Grammar check,3,3.0,100.0,0.0
Data.Police.UK&&Crimes at location,3,2.6667,66.67,0.0
Date Calculator&&datedif,3,2.3333,33.33,0.0
Geneea Interpretor NLP&&Named Entity Recognition (NER),3,2.3333,66.67,0.0
Text Analysis&&named-entity-recognition,3,2.3333,66.67,0.0
Date Analyzer&&Date From Text,3,2.0,0.0,0.0
chatOPT&&write,3,1.6667,33.33,0.0
Criminal Records Search&&/GetArchiveReport,3,1.3333,0.0,0.0
Criminal Records Search&&/GetReport,3,1.3333,0.0,0.0
Deepmind&&Think,3,1.0,66.67,33.33
Microfacts&&Entity detection,3,1.0,66.67,33.33
Microfacts&&entity,3,0.6667,33.33,33.33
Sentiment & Language Detection (AI)&&Detect Sentiment,3,0.6667,33.33,33.33
