step_idx,count,P@1,R@1,F1@1,Hit@1,nDCG@1,MRR@1
1,15232,0.7677914915966386,0.7677914915966386,0.7677914915966386,0.7677914915966386,0.7677914915966386,0.7677914915966386
2,15232,0.8142069327731093,0.8142069327731093,0.8142069327731093,0.8142069327731093,0.8142069327731093,0.8142069327731093
3,89,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.7191011235955056,0.7191011235955056
4,79,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076,0.759493670886076
5,61,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869
6,52,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
7,44,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
8,36,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112
9,30,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
10,21,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
11,17,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
12,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
13,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
14,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
15,10,0.9,0.9,0.9,0.9,0.9,0.9
16,8,0.875,0.875,0.875,0.875,0.875,0.875
17,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
18,5,0.8,0.8,0.8,0.8,0.8,0.8
19,2,1.0,1.0,1.0,1.0,1.0,1.0
20,1,1.0,1.0,1.0,1.0,1.0,1.0
