recordId,dirname,question,rewritten_tool_query,agent_name,agent_rank,tool_name,score,note
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_4,4,English text simplifier&&/v1/simplify,1,
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_5,5,Paraphraser&&Summarize,1,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,agent_1,1,calculator,3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,agent_1,1,tasks,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,agent_2,2,calculator,3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,agent_2,2,sql,-3,
leaderboard_bbh_boolean_expressions_question_181,bbh_boolean_expressions,not True or False and True or False is,boolean logic evaluation; truth table; expression parsing,agent_3,3,calculator,3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,agent_1,1,calculator,3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,agent_1,1,openai-code-interpreter,3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,agent_2,2,calculator,3,
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,agent_3,3,calculator,3,
leaderboard_bbh_causal_judgement_question_65,bbh_causal_judgement,"How would a typical person answer each of the following questions about causation?
Jim, Carol, Bob, and Nancy are researchers in a remote area, and they have a limited supply of electricity. Because of their limited supply, the electricity only comes on in the evenings from 8-9 PM, and they have to restrict who can use power on certain days. If three people turn on their lamps at the same time, the breaker will fail. The breaker will not fail if fewer people turn on their lamps at the same time. Jim, Carol, Bob, and Nancy are all allowed to use their lamps on Thursdays. This Thursday Jim turns on his lamp at 8 PM. Just then, Carol turns on her lamp, and Bob also turns on his lamp. Since three people turned on their lamps at the same time, the circuit breaker failed. Did Jim turning on his lamp at 8 PM cause the circuit breaker to fail?
Options:
- Yes
- No",causal reasoning answer yes/no; counterfactual causation; logic question classification,agent_2,2,Semantic Analysis&&Texts_Comparison_v1_text_compare_post,2,
