recordId,dirname,question,rewritten_tool_query,agent_name,rank,score,note,tool_count,llm_count,llm_names,tool_names,mean_tool_score,min_tool_score,has_any_negative_tool,has_any_nonpositive_tool,all_tools_positive,all_tools_score3,llm_scores_all_3
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,agent_1,1,3,,0,1,nvidia__OpenMath2-Llama3.1-8B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,agent_2,2,3,,0,1,tiiuae__falcon-7b-instruct,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,agent_3,3,3,,0,1,nvidia__AceInstruct-7B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,agent_4,4,3,,0,1,togethercomputer__RedPajama-INCITE-Chat-3B-v1,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,False or False or True and not False is,boolean logic evaluation,agent_5,5,3,,0,1,EleutherAI__gpt-neo-125m,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_1,1,3,,0,1,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_2,2,3,,0,1,nvidia__OpenMath2-Llama3.1-8B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_3,3,3,,0,1,nvidia__AceInstruct-7B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_4,4,2,,1,1,EleutherAI__gpt-neo-125m,English text simplifier&&/v1/simplify,1.0,1.0,False,False,True,False,True
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,agent_5,5,2,,1,1,google__mt5-small,Paraphraser&&Summarize,1.0,1.0,False,False,True,False,True
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,agent_1,1,3,,0,1,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B,,,,False,False,True,True,True
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,False or not not not False and True is,boolean logic evaluation,agent_2,2,3,,0,1,nvidia__AceInstruct-7B,,,,False,False,True,True,True
