recordId,dirname,rank,agent_name,score,question,rewritten_tool_query,tool_names,llm_names
leaderboard_bbh_boolean_expressions_question_25,bbh_boolean_expressions,1,agent_1,3,False or False or True and not False is,boolean logic evaluation,,nvidia__OpenMath2-Llama3.1-8B
leaderboard_bbh_boolean_expressions_question_30,bbh_boolean_expressions,1,agent_1,3,False or ( not False and False ) is,boolean expression evaluation; logical operators precedence; parse and simplify expression,,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B
leaderboard_bbh_boolean_expressions_question_157,bbh_boolean_expressions,1,agent_1,3,False or not not not False and True is,boolean logic evaluation,,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B
leaderboard_bbh_boolean_expressions_question_185,bbh_boolean_expressions,1,agent_1,3,True or False and not ( True ) is,boolean logic evaluation; parse logical expression,calculator | openai-code-interpreter,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B
leaderboard_bbh_causal_judgement_question_14,bbh_causal_judgement,1,agent_1,3,"How would a typical person answer each of the following questions about causation?
Janet is an employee in a factory. Since she works in the maintenance department, she knows how to grease and oil all of the machines in the factory. It is her responsibility to put oil into the machines. Kate is also an employee at the factory. While she works in the human resources department, she knows how to grease and oil all of the machines in the factory. If Janet does not put oil in the machines, it is not Kate's responsibility to do so. One day, Janet forgets to put oil in an important machine. Janet noticed that she did not put oil in the machine. Kate did not notice that Janet did not put oil in the machine, and Kate also did not put oil in the machine. The machine broke down a few days later. Did Kate not putting oil in the machine cause it to break down?
Options:
- Yes
- No",causation question answering; binary classification; yes no answer,,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B
leaderboard_bbh_causal_judgement_question_59,bbh_causal_judgement,1,agent_1,3,"How would a typical person answer each of the following questions about causation?
Drew, Kylie, Oliver, and Jen are regular customers at a small, local coffee shop. Given the selling price of the coffee and the cost of daily operation, the coffee shop will turn a profit if anyone orders coffee on a given day. Only one person ordering coffee is needed for the coffee shop to turn a profit that day. Drew, Kylie, and Oliver usually order coffee on Tuesdays. This Tuesday, as usual, Drew ordered coffee. The same day, Kylie ordered coffee, and Oliver also ordered coffee. Since at least one person ordered coffee on Tuesday, the coffee shop made a profit that day. Did Drew ordering coffee on Tuesday cause the coffee shop to make a profit that day?
Options:
- Yes
- No",causation classification; answer multiple choice question; causal inference,,nvidia__AceInstruct-7B
leaderboard_bbh_causal_judgement_question_65,bbh_causal_judgement,1,agent_1,3,"How would a typical person answer each of the following questions about causation?
Jim, Carol, Bob, and Nancy are researchers in a remote area, and they have a limited supply of electricity. Because of their limited supply, the electricity only comes on in the evenings from 8-9 PM, and they have to restrict who can use power on certain days. If three people turn on their lamps at the same time, the breaker will fail. The breaker will not fail if fewer people turn on their lamps at the same time. Jim, Carol, Bob, and Nancy are all allowed to use their lamps on Thursdays. This Thursday Jim turns on his lamp at 8 PM. Just then, Carol turns on her lamp, and Bob also turns on his lamp. Since three people turned on their lamps at the same time, the circuit breaker failed. Did Jim turning on his lamp at 8 PM cause the circuit breaker to fail?
Options:
- Yes
- No",causal reasoning answer yes/no; counterfactual causation; logic question classification,,deepseek-ai__deepseek-llm-7b-chat
leaderboard_bbh_causal_judgement_question_175,bbh_causal_judgement,1,agent_1,3,"How would a typical person answer each of the following questions about causation?
Lauren and Jane work for the same company. They each need to use a computer for work sometimes. Unfortunately, the computer isn't very powerful. If two people are logged on at the same time, it usually crashes. So the company decided to institute an official policy. It declared that Jane would be the only one permitted to use the computer in the mornings and that Lauren would be the only one permitted to use the computer in the afternoons. As expected, Jane logged on the computer the next day at 9:00 am. But Lauren decided to disobey the official policy. She also logged on at 9:00 am. The computer crashed immediately. Did Jane cause the computer to crash?
Options:
- Yes
- No",causation reasoning; answer multiple choice; natural language question answering,,nvidia__AceInstruct-7B
leaderboard_bbh_causal_judgement_question_181,bbh_causal_judgement,1,agent_1,3,"How would a typical person answer each of the following questions about causation?
Alex is playing a board game. Every turn in the game, you simultaneously roll two-sided dice and flip a coin. Alex will either win or lose the game on his next turn. Alex will only win the game if the total of his dice roll is greater than 2 AND the coin comes up heads. It is very likely that he will roll higher than 2, and the coin has equal odds of coming up heads or tails. Alex flips the coin and rolls his dice at exactly the same time. The coin comes up heads, and he rolls a 12, so just as expected, he rolled greater than 2. Alex wins the game. Did Alex win because of the coin flip?
Options:
- Yes
- No",causation question answering; common sense yes no classification,,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B
leaderboard_bbh_date_understanding_question_174,bbh_date_understanding,1,agent_1,3,"Jane is celebrating the last day of Jan 2012. What is the date today in MM/DD/YYYY?
Options:
(A) 01/31/2012
(B) 01/29/2012
(C) 02/10/2012
(D) 03/22/2012
(E) 01/30/2012
(F) 01/21/2012",date lookup; calendar date today; format MM/DD/YYYY,current_time_service,microsoft__phi-4
